Title,Worldwide,Domestic,Domestic_percent,Foreign,Foreign_percent
The Last Song,"$89,137,047","$62,950,384",70.60%,"$26,186,663",29.40%
K.G.F: Chapter 2,"$89,123,940","$2,874,000",3.20%,"$86,249,940",96.80%
The Inbetweeners,"$88,823,111","$36,000",<0.1%,"$88,787,111",100%
Collateral Beauty,"$88,528,280","$31,016,021",35%,"$57,512,259",65%
Line Walker,"$88,228,755",-,-,"$88,228,755",100%
This Is 40,"$88,215,156","$67,544,505",76.60%,"$20,670,651",23.40%
Dhoom 3,"$88,031,955","$8,031,955",9.10%,"$80,000,000",90.90%
"Lyle, Lyle, Crocodile","$87,995,784","$46,595,784",53%,"$41,400,000",47%
Chasing the Dragon,"$87,965,942","$456,854",0.50%,"$87,509,088",99.50%
Deliver Us from Evil,"$87,937,815","$30,577,122",34.80%,"$57,360,693",65.20%
Serial (Bad) Weddings 2,"$87,761,988",-,-,"$87,761,988",100%
Tiger Zinda Hai,"$87,320,000","$5,560,921",6.40%,"$81,759,079",93.60%
Pain & Gain,"$87,305,549","$49,875,291",57.10%,"$37,430,258",42.90%
Sultan,"$87,280,000","$6,200,000",7.10%,"$81,080,000",92.90%
A Million Ways to Die in the West,"$87,189,756","$43,139,300",49.50%,"$44,050,456",50.50%
The Thieves,"$87,126,367","$685,839",0.80%,"$86,440,528",99.20%
About Time,"$87,100,449","$15,322,921",17.60%,"$71,777,528",82.40%
American Dreams in China,"$87,097,067",-,-,"$87,097,067",100%
"Hello, Mrs. Money","$86,874,070",-,-,"$86,874,070",100%
Dinner for Schmucks,"$86,855,739","$73,026,337",84.10%,"$13,829,402",15.90%
Snowpiercer,"$86,758,912","$4,563,650",5.30%,"$82,195,262",94.70%
The Lincoln Lawyer,"$86,752,352","$58,009,200",66.90%,"$28,743,152",33.10%
Don't Worry Darling,"$86,709,403","$45,309,403",52.30%,"$41,400,000",47.70%
Dragon Ball Super: Super Hero,"$86,562,140","$38,112,140",44%,"$48,450,000",56%
Robin Hood,"$86,489,031","$30,824,628",35.60%,"$55,664,403",64.40%
A Taxi Driver,"$86,252,940","$1,527,829",1.80%,"$84,725,111",98.20%
War Dogs,"$86,234,523","$43,034,523",49.90%,"$43,200,000",50.10%
Step Up All In,"$86,165,646","$14,904,384",17.30%,"$71,261,262",82.70%
Hall Pass,"$86,157,237","$45,060,734",52.30%,"$41,096,503",47.70%
I Can Only Imagine,"$86,086,881","$83,482,352",97%,"$2,604,529",3%
John Wick,"$86,013,056","$43,037,835",50%,"$42,975,221",50%
The Second Best Exotic Marigold Hotel,"$85,978,266","$33,078,266",38.50%,"$52,900,000",61.50%
Spy Kids 4: All the Time in the World,"$85,564,310","$38,538,188",45%,"$47,026,122",55%
Paper Towns,"$85,512,300","$32,000,304",37.40%,"$53,511,996",62.60%
The Possession,"$85,446,075","$49,130,154",57.50%,"$36,315,921",42.50%
Big Fish & Begonia,"$85,409,373",-,-,"$85,409,373",100%
Bayside Shakedown 3: Set the Guys Loose,"$85,347,374",-,-,"$85,347,374",100%
Nerve,"$85,251,425","$38,583,626",45.30%,"$46,667,799",54.70%
Hidden Man,"$85,170,581",-,-,"$85,170,581",100%
J. Edgar,"$84,920,539","$37,306,030",43.90%,"$47,614,509",56.10%
Going in Style,"$84,918,541","$45,018,541",53%,"$39,900,000",47%
Sicario,"$84,872,444","$46,889,293",55.20%,"$37,983,151",44.80%
Carrie,"$84,790,678","$35,266,619",41.60%,"$49,524,059",58.40%
Dog,"$84,774,243","$61,778,069",72.90%,"$22,996,174",27.10%
Mamma Mia! 2020 Re-release,"$84,579,977",-,-,"$84,579,977",100%
The Judge,"$84,419,388","$47,119,388",55.80%,"$37,300,000",44.20%
Mortal Kombat,"$84,416,731","$42,326,031",50.10%,"$42,090,700",49.90%
What to Expect When You're Expecting,"$84,384,002","$41,152,203",48.80%,"$43,231,799",51.20%
Leap!,"$84,197,417","$2,844,490",3.40%,"$81,352,927",96.60%
Finding Mr. Right,"$84,112,033","$6,945",<0.1%,"$84,105,088",100%
Our Times,"$83,867,493",-,-,"$83,867,493",100%
Marmaduke,"$83,761,844","$33,644,788",40.20%,"$50,117,056",59.80%
Mortal Engines,"$83,672,673","$15,951,040",19.10%,"$67,721,633",80.90%
Piranha 3D,"$83,188,165","$25,003,155",30.10%,"$58,185,010",69.90%
Oceans,"$83,090,556","$19,422,319",23.40%,"$63,668,237",76.60%
Rings,"$83,080,890","$27,793,018",33.50%,"$55,287,872",66.50%
Suck Me Shakespeer 2,"$83,027,924",-,-,"$83,027,924",100%
Savages,"$82,966,152","$47,382,068",57.10%,"$35,584,084",42.90%
Once Upon A Time,"$82,886,178","$485,728",0.60%,"$82,400,450",99.40%
