Title,Worldwide,Domestic,Domestic_percent,Foreign,Foreign_percent
Thunder and the House of Magic,"$64,197,205","$4,091",<0.1%,"$64,193,114",100%
The Danish Girl,"$64,191,523","$11,114,018",17.30%,"$53,077,505",82.70%
The Boy,"$64,188,367","$35,819,556",55.80%,"$28,368,811",44.20%
The Grandmaster,"$64,076,736","$6,594,959",10.30%,"$57,481,777",89.70%
The Pirate Fairy,"$63,998,725",-,-,"$63,998,725",100%
The Inbetweeners 2,"$63,852,235",-,-,"$63,852,235",100%
Hanna,"$63,782,078","$40,259,119",63.10%,"$23,522,959",36.90%
"Hail, Caesar!","$63,647,656","$30,498,085",47.90%,"$33,149,571",52.10%
Elite Squad 2: The Enemy Within,"$63,618,850","$100,119",0.20%,"$63,518,731",99.80%
Footloose 2011 Re-release,"$63,543,328","$51,802,742",81.50%,"$11,740,586",18.50%
Conan the Barbarian,"$63,523,283","$21,295,021",33.50%,"$42,228,262",66.50%
Begin Again,"$63,464,861","$16,170,632",25.50%,"$47,294,229",74.50%
Colombiana,"$63,458,440","$36,665,854",57.80%,"$26,792,586",42.20%
Side Effects,"$63,414,135","$32,172,757",50.70%,"$31,241,378",49.30%
The Host,"$63,365,859","$26,627,201",42%,"$36,738,658",58%
The Hundred Regiments Offensive,"$63,230,000",-,-,"$63,230,000",100%
Detective Conan: Crimson Love Letter,"$63,144,805",-,-,"$63,144,805",100%
The Longest Ride,"$62,944,815","$37,446,117",59.50%,"$25,498,698",40.50%
Unfriended,"$62,882,090","$32,482,090",51.70%,"$30,400,000",48.30%
The Mountain Between Us,"$62,832,209","$30,348,555",48.30%,"$32,483,654",51.70%
The Star,"$62,812,974","$40,852,824",65%,"$21,960,150",35%
The Nice Guys,"$62,788,218","$36,261,763",57.80%,"$26,526,455",42.20%
Beauty and the Beast 2012 3D Release,"$62,767,829","$47,617,067",75.90%,"$15,150,762",24.10%
Devil,"$62,695,489","$33,601,190",53.60%,"$29,094,299",46.40%
Runner Runner,"$62,675,095","$19,316,646",30.80%,"$43,358,449",69.20%
How to Be a Latin Lover,"$62,547,032","$32,149,404",51.40%,"$30,397,628",48.60%
The White Haired Witch of Lunar Kingdom,"$62,515,046",-,-,"$62,515,046",100%
Andhadhun,"$62,475,342","$1,193,046",1.90%,"$61,282,296",98.10%
47 Meters Down,"$62,187,529","$44,307,191",71.20%,"$17,880,338",28.80%
White Snake,"$62,098,770","$34,730",<0.1%,"$62,064,040",99.90%
Brooklyn,"$62,076,141","$38,322,743",61.70%,"$23,753,398",38.30%
"Dragon Ball Z: Resurrection ""F""","$61,768,190","$8,008,363",13%,"$53,759,827",87%
"Everything, Everything","$61,621,140","$34,121,140",55.40%,"$27,500,000",44.60%
Woman in Gold,"$61,619,773","$33,307,793",54.10%,"$28,311,980",45.90%
The Face Reader,"$61,559,184","$515,876",0.80%,"$61,043,308",99.20%
Krampus,"$61,548,707","$42,725,475",69.40%,"$18,823,232",30.60%
From Up on Poppy Hill,"$61,459,425","$1,002,895",1.60%,"$60,456,530",98.40%
Bombshell,"$61,404,394","$31,762,808",51.70%,"$29,641,586",48.30%
Ashfall,"$61,354,854","$372,562",0.60%,"$60,982,292",99.40%
Astérix and Obélix: God Save Britannia,"$61,319,383",-,-,"$61,319,383",100%
The Legend of Hercules,"$61,279,452","$18,848,538",30.80%,"$42,430,914",69.20%
Ma,"$61,220,784","$45,896,028",75%,"$15,324,756",25%
The Walk,"$61,181,942","$10,137,502",16.60%,"$51,044,440",83.40%
Doraemon: Great Adventure in the Antarctic Kachi Kochi,"$61,153,455",-,-,"$61,153,455",100%
Snatched,"$60,845,711","$45,852,178",75.40%,"$14,993,533",24.60%
Kick-Ass 2,"$60,795,985","$28,795,985",47.40%,"$32,000,000",52.60%
127 Hours,"$60,738,797","$18,335,230",30.20%,"$42,403,567",69.80%
Ron's Gone Wrong,"$60,692,022","$23,009,270",37.90%,"$37,682,752",62.10%
Why Did I Get Married Too?,"$60,673,972","$60,095,852",99%,"$578,120",1%
Love You Forever,"$60,670,799",-,-,"$60,670,799",100%
What a Beautiful Day,"$60,661,950",-,-,"$60,661,950",100%
The Founding of an Army,"$60,600,361",-,-,"$60,600,361",100%
Evangelion: 3.0 You Can (Not) Redo,"$60,488,344","$174,945",0.30%,"$60,313,399",99.70%
The Ghost Writer,"$60,331,447","$15,541,549",25.80%,"$44,789,898",74.20%
My Little Pony: The Movie,"$60,330,833","$21,885,107",36.30%,"$38,445,726",63.70%
Secretariat,"$60,321,861","$59,713,955",99%,"$607,906",1%
The Perfect Guy,"$60,273,173","$57,027,435",94.60%,"$3,245,738",5.40%
A Haunted House,"$60,159,584","$40,041,683",66.60%,"$20,117,901",33.40%
Beautiful Creatures,"$60,052,138","$19,452,138",32.40%,"$40,600,000",67.60%
Morning Glory,"$60,040,976","$31,011,732",51.70%,"$29,029,244",48.30%
My Best Summer,"$60,011,073",-,-,"$60,011,073",100%
Forever Young,"$59,981,902","$149,761",0.20%,"$59,832,141",99.80%
Adrift,"$59,945,012","$31,445,012",52.50%,"$28,500,000",47.50%
Quartet,"$59,520,298","$18,390,117",30.90%,"$41,130,181",69.10%
Rock of Ages,"$59,418,613","$38,518,613",64.80%,"$20,900,000",35.20%
Miss Granny,"$59,396,311","$234,573",0.40%,"$59,161,738",99.60%
One Day,"$59,389,433","$13,843,771",23.30%,"$45,545,662",76.70%
Molly's Game,"$59,284,015","$28,780,744",48.50%,"$30,503,271",51.50%
Beast,"$59,095,809","$31,846,530",53.90%,"$27,249,279",46.10%
The Devotion of Suspect X,"$59,035,664","$686,435",1.20%,"$58,349,229",98.80%
The Gift,"$58,978,653","$43,787,265",74.20%,"$15,191,388",25.80%
Miss Granny,"$58,940,254",-,-,"$58,940,254",100%
A Walk Among the Tombstones,"$58,834,384","$26,307,600",44.70%,"$32,526,784",55.30%
Shock Wave,"$58,824,459",-,-,"$58,824,459",100%
The Tree of Life,"$58,409,247","$13,303,319",22.80%,"$45,105,928",77.20%
Cloudy Mountain,"$58,346,882",-,-,"$58,346,882",100%
Beginning of the Great Revival,"$58,309,289","$151,000",0.30%,"$58,158,289",99.70%
Huo guo ying xiong,"$58,106,427","$779,818",1.30%,"$57,326,609",98.70%
L.O.R.D: Legend of Ravaging Dynasties,"$58,089,494","$350,456",0.60%,"$57,739,038",99.40%
Snitch,"$57,824,674","$42,930,462",74.20%,"$14,894,212",25.80%
Dolphin Tale 2,"$57,824,533","$42,024,533",72.70%,"$15,800,000",27.30%
Nine Lives,"$57,814,445","$19,700,032",34.10%,"$38,114,413",65.90%
That's My Boy,"$57,719,093","$36,931,089",64%,"$20,788,004",36%
Avatar 2021 Re-release,"$57,700,000",-,-,"$57,700,000",100%
Goldbuster,"$57,628,292","$186,135",0.30%,"$57,442,157",99.70%
Ready or Not,"$57,615,777","$28,714,231",49.80%,"$28,901,546",50.20%
Nobody,"$57,510,518","$27,568,035",47.90%,"$29,942,483",52.10%
The Physician,"$57,284,237",-,-,"$57,284,237",100%
Jade Dynasty,"$57,149,764",-,-,"$57,149,764",100%
Killer Elite,"$57,084,522","$25,124,966",44%,"$31,959,556",56%
Gekijouban Tenpesuto 3D,"$57,082,491",-,-,"$57,082,491",100%
The 15:17 to Paris,"$57,076,286","$36,276,286",63.60%,"$20,800,000",36.40%
All the Money in the World,"$56,996,304","$25,113,707",44.10%,"$31,882,597",55.90%
Zoolander 2,"$56,722,693","$28,848,693",50.90%,"$27,874,000",49.10%
You Are My Sunshine,"$56,640,000",-,-,"$56,640,000",100%
The Perfect Secret,"$56,573,047",-,-,"$56,573,047",100%
The Big Sick,"$56,411,585","$42,873,127",76%,"$13,538,458",24%
A or B,"$56,239,049",-,-,"$56,239,049",100%
Nezha Reborn,"$56,088,478",-,-,"$56,088,478",100%
The Big Shot,"$56,040,681",-,-,"$56,040,681",100%
Remember Me,"$56,032,889","$19,068,240",34%,"$36,964,649",66%
The Odd Life of Timothy Green,"$56,012,642","$51,854,875",92.60%,"$4,157,767",7.40%
Gongjo,"$55,972,241","$475,618",0.80%,"$55,496,623",99.20%
Firestorm,"$55,754,766",-,-,"$55,754,766",100%
All Eyez on Me,"$55,668,698","$44,922,302",80.70%,"$10,746,396",19.30%
Cop Out,"$55,611,001","$44,875,481",80.70%,"$10,735,520",19.30%
Lawless,"$55,404,159","$37,400,127",67.50%,"$18,004,032",32.50%
Silent Hill: Revelation,"$55,362,705","$17,529,157",31.70%,"$37,833,548",68.30%
Extremely Loud & Incredibly Close,"$55,247,881","$31,847,881",57.60%,"$23,400,000",42.40%
Dallas Buyers Club,"$55,198,285","$27,298,285",49.50%,"$27,900,000",50.50%
End of Watch,"$55,078,146","$41,003,371",74.40%,"$14,074,775",25.60%
Hellboy,"$55,064,690","$21,903,748",39.80%,"$33,160,942",60.20%
Barbershop: The Next Cut,"$55,030,051","$54,030,051",98.20%,"$1,000,000",1.80%
Veda - Atatürk,"$55,024,621",-,-,"$55,024,621",100%
Downsizing,"$55,003,890","$24,449,754",44.50%,"$30,554,136",55.50%
Wolf Children,"$54,984,346",-,-,"$54,984,346",100%
St. Vincent,"$54,837,234","$44,137,712",80.50%,"$10,699,522",19.50%
The Three Stooges,"$54,819,301","$44,338,224",80.90%,"$10,481,077",19.10%
The Crazies,"$54,806,823","$39,123,589",71.40%,"$15,683,234",28.60%
Go Brother!,"$54,663,060",-,-,"$54,663,060",100%
Early Man,"$54,622,814","$8,267,544",15.10%,"$46,355,270",84.90%
The Age of Shadows,"$54,491,162","$541,719",1%,"$53,949,443",99%
Confidential Assignment 2: International,"$54,486,330",-,-,"$54,486,330",100%
No Escape,"$54,418,872","$27,288,872",50.10%,"$27,130,000",49.90%
No Good Deed,"$54,323,210","$52,543,632",96.70%,"$1,779,578",3.30%
Upcoming,"$54,300,000",-,-,"$54,300,000",100%
The Five-Year Engagement,"$54,169,363","$28,835,528",53.20%,"$25,333,835",46.80%
Madea's Big Happy Family,"$54,161,287","$53,345,287",98.50%,"$816,000",1.50%
A Ghost of a Chance,"$53,982,636",-,-,"$53,982,636",100%
"I, Tonya","$53,939,297","$30,014,539",55.60%,"$23,924,758",44.40%
Peppermint,"$53,918,723","$35,418,723",65.70%,"$18,500,000",34.30%
Long Shot,"$53,873,809","$30,316,271",56.30%,"$23,557,538",43.70%
1987: When the Day Comes,"$53,834,292",-,-,"$53,834,292",100%
Don't Breathe 2,"$53,785,551","$32,712,950",60.80%,"$21,072,601",39.20%
Overheard 3,"$53,493,428",-,-,"$53,493,428",100%
Supercondriaque,"$53,425,036",-,-,"$53,425,036",100%
A Madea Christmas,"$53,396,635","$52,543,354",98.40%,"$853,281",1.60%
Sinister 2,"$53,329,150","$27,740,955",52%,"$25,588,195",48%
Little White Lies,"$53,319,615","$206,088",0.40%,"$53,113,527",99.60%
A Chinese Odyssey: Part Three,"$53,306,108",-,-,"$53,306,108",100%
3 Days to Kill,"$53,260,230","$30,697,999",57.60%,"$22,562,231",42.40%
Temptation: Confessions of a Marriage Counselor,"$53,143,144","$51,975,354",97.80%,"$1,167,790",2.20%
Delivery Man,"$53,120,346","$30,664,106",57.70%,"$22,456,240",42.30%
The Outlaws,"$52,946,454",-,-,"$52,946,454",100%
Man in Love,"$52,946,097",-,-,"$52,946,097",100%
Detective Conan: Sunflowers of Inferno,"$52,920,296",-,-,"$52,920,296",100%
From Paris with Love,"$52,830,951","$24,077,427",45.60%,"$28,753,524",54.40%
Prem Ratan Dhan Payo,"$52,715,771","$4,364,639",8.30%,"$48,351,132",91.70%
Break Through the Darkness,"$52,700,000",-,-,"$52,700,000",100%
Rurouni Kenshin Part II: Kyoto Inferno,"$52,696,176",-,-,"$52,696,176",100%
Wild,"$52,501,541","$37,880,356",72.20%,"$14,621,185",27.80%
Tunnel,"$52,444,295","$568,876",1.10%,"$51,875,419",98.90%
The Boy Next Door,"$52,425,855","$35,423,380",67.60%,"$17,002,475",32.40%
The Night Before,"$52,395,996","$43,047,372",82.20%,"$9,348,624",17.80%
Greenland,"$52,300,000",-,-,"$52,300,000",100%
Hollywood Adventures,"$52,265,070",-,-,"$52,265,070",100%
Tolo Tolo,"$52,186,426",-,-,"$52,186,426",100%
Patriots Day,"$52,185,751","$31,886,361",61.10%,"$20,299,390",38.90%
My Beloved Bodyguard,"$52,165,873",-,-,"$52,165,873",100%
The Finest Hours,"$52,099,090","$27,569,558",52.90%,"$24,529,532",47.10%
Teen Titans GO! To the Movies,"$52,090,236","$29,790,236",57.20%,"$22,300,000",42.80%
Detective Dee: The Mystery of the Phantom Flame,"$51,899,269","$459,836",0.90%,"$51,439,433",99.10%
Conference of Animals,"$51,883,642",-,-,"$51,883,642",100%
"Yo-kai Watch Movie: It's the Secret of Birth, Meow!","$51,838,845","$257,343",0.50%,"$51,581,502",99.50%
Ambulance,"$51,828,984","$22,309,115",43%,"$29,519,869",57%
Slender Man,"$51,738,549","$30,569,484",59.10%,"$21,169,065",40.90%
Schemes in Antiques,"$51,637,422","$36,501",<0.1%,"$51,600,921",99.90%
Master,"$51,636,415","$597,251",1.20%,"$51,039,164",98.80%
Daybreakers,"$51,416,464","$30,101,577",58.50%,"$21,314,887",41.50%
Breaking In,"$51,411,620","$46,840,590",91.10%,"$4,571,030",8.90%
Cry Me a Sad River,"$51,400,614",-,-,"$51,400,614",100%
Hot Pursuit,"$51,380,201","$34,580,201",67.30%,"$16,800,000",32.70%
Once Upon a Deadpool 2018 Re-release,"$51,349,833","$6,100,309",11.90%,"$45,249,524",88.10%
Simmba,"$51,329,025","$5,102,129",9.90%,"$46,226,896",90.10%
The 100 Year-Old Man Who Climbed Out the Window and Disappeared,"$51,167,572","$944,193",1.80%,"$50,223,379",98.20%
Sunny,"$51,116,421",-,-,"$51,116,421",100%
Magic in the Moonlight,"$51,029,361","$10,539,326",20.70%,"$40,490,035",79.30%
Red Dawn,"$50,950,296","$44,806,783",87.90%,"$6,143,513",12.10%
Doraemon the Movie: Nobita and the Birth of Japan,"$50,939,840",-,-,"$50,939,840",100%
Vanguard,"$50,866,901","$793,525",1.60%,"$50,073,376",98.40%
Just Mercy,"$50,851,872","$36,001,502",70.80%,"$14,850,370",29.20%
Son of a Rich,"$50,803,834",-,-,"$50,803,834",100%
War of the Arrows,"$50,587,661","$251,200",0.50%,"$50,336,461",99.50%
Kingdom,"$50,574,061",-,-,"$50,574,061",100%
The Himalayas,"$50,544,493","$696,717",1.40%,"$49,847,776",98.60%
Alpha and Omega,"$50,507,267","$25,107,267",49.70%,"$25,400,000",50.30%
Dragon Ball Z: Battle of Gods,"$50,461,371","$2,553,002",5.10%,"$47,908,369",94.90%
Marry Me,"$50,458,060","$22,438,180",44.50%,"$28,019,880",55.50%
Kokowääh,"$50,447,784",-,-,"$50,447,784",100%
About Last Night,"$50,445,860","$48,637,684",96.40%,"$1,808,176",3.60%
Breakthrough,"$50,444,358","$40,713,082",80.70%,"$9,731,276",19.30%
Red Tails,"$50,365,498","$49,876,377",99%,"$489,121",1%
"Monsters, Inc. 2012 3D Release","$50,207,820","$34,043,006",67.80%,"$16,164,814",32.20%
Brahmastra Part One: Shiva,"$50,164,785","$7,839,108",15.60%,"$42,325,677",84.40%
HOUBA! On the Trail of the Marsupilami,"$50,146,474",-,-,"$50,146,474",100%
Uncut Gems,"$50,023,780","$50,023,780",100%,-,-
Dearest 2014 Re-release,"$50,000,583",-,-,"$50,000,583",100%
Family is Family,"$49,954,866",-,-,"$49,954,866",100%
21 Bridges,"$49,939,757","$28,539,757",57.10%,"$21,400,000",42.90%
Winnie the Pooh,"$49,871,429","$26,692,846",53.50%,"$23,178,583",46.50%
The Wailing,"$49,851,770","$786,633",1.60%,"$49,065,137",98.40%
The Switch,"$49,830,607","$27,779,426",55.70%,"$22,051,181",44.30%
Space Battleship Yamato,"$49,827,298",-,-,"$49,827,298",100%
She's Out of My League,"$49,779,728","$32,010,860",64.30%,"$17,768,868",35.70%
Luca,"$49,750,471",-,-,"$49,750,471",100%
The Boy and the Beast,"$49,714,378","$490,643",1%,"$49,223,735",99%
Two Is a Family,"$49,619,118",-,-,"$49,619,118",100%
Song of Youth,"$49,615,508",-,-,"$49,615,508",100%
Surprise,"$49,567,466",-,-,"$49,567,466",100%
Death Wish,"$49,562,710","$34,017,028",68.60%,"$15,545,682",31.40%
The Grudge,"$49,511,319","$21,221,803",42.90%,"$28,289,516",57.10%
Tad: The Lost Explorer,"$49,490,859",-,-,"$49,490,859",100%
Fantasy Island,"$49,447,308","$27,309,289",55.20%,"$22,138,019",44.80%
Trolls 2: World Tour,"$49,276,818","$450,000",0.90%,"$48,826,818",99.10%
Entourage,"$49,263,404","$32,363,404",65.70%,"$16,900,000",34.30%
A Turtle's Tale 2: Sammy's Escape from Paradise,"$49,261,830",-,-,"$49,261,830",100%
The New Mutants,"$49,169,594","$23,852,659",48.50%,"$25,316,935",51.50%
Death at a Funeral,"$49,050,886","$42,739,347",87.10%,"$6,311,539",12.90%
Little,"$48,987,096","$40,860,481",83.40%,"$8,126,615",16.60%
Whiplash,"$48,982,041","$13,092,000",26.70%,"$35,890,041",73.30%
Never Gone,"$48,980,792","$96,421",0.20%,"$48,884,371",99.80%
The Berlin File,"$48,972,848","$665,210",1.40%,"$48,307,638",98.60%
Trouble with the Curve,"$48,963,137","$35,763,137",73%,"$13,200,000",27%
Belfast,"$48,918,959","$9,250,870",18.90%,"$39,668,089",81.10%
Luck-Key,"$48,913,975","$466,505",1%,"$48,447,470",99%
Florence Foster Jenkins,"$48,902,953","$27,383,770",56%,"$21,519,183",44%
The Woman in Black 2: Angel of Death,"$48,854,305","$26,501,323",54.20%,"$22,352,982",45.80%
Bleeding Steel,"$48,825,526",-,-,"$48,825,526",100%
Isn't It Romantic,"$48,791,187","$48,791,187",100%,-,-
Mother's Day,"$48,782,670","$32,492,859",66.60%,"$16,289,811",33.40%
How Do You Know,"$48,668,907","$30,212,620",62.10%,"$18,456,287",37.90%
Concussion,"$48,623,572","$34,542,474",71%,"$14,081,098",29%
Her,"$48,517,427","$25,568,251",52.70%,"$22,949,176",47.30%
The Legend of Hei,"$48,507,082",-,-,"$48,507,082",100%
Logan Lucky,"$48,453,605","$27,780,977",57.30%,"$20,672,628",42.70%
Homefront,"$48,449,416","$20,158,898",41.60%,"$28,290,518",58.40%
Chef,"$48,428,048","$31,424,003",64.90%,"$17,004,045",35.10%
Boo 2! A Madea Halloween,"$48,333,932","$47,319,572",97.90%,"$1,014,360",2.10%
The Last Stand,"$48,330,757","$12,050,299",24.90%,"$36,280,458",75.10%
Charlie St. Cloud,"$48,190,704","$31,162,545",64.70%,"$17,028,159",35.30%
Arthur,"$48,147,945","$33,035,397",68.60%,"$15,112,548",31.40%
Boyhood,"$48,137,666","$25,352,281",52.70%,"$22,785,385",47.30%
21 & Over,"$48,065,672","$25,682,380",53.40%,"$22,383,292",46.60%
Sky Hunter,"$48,065,601",-,-,"$48,065,601",100%
Heartbreaker,"$48,023,509","$504,030",1%,"$47,519,479",99%
Countdown,"$48,021,766","$25,621,766",53.40%,"$22,400,000",46.60%
After We Collided,"$47,990,414","$2,386,483",5%,"$45,603,931",95%
"From Today, It's My Turn: The Movie","$47,895,887",-,-,"$47,895,887",100%
Midsommar,"$47,863,365","$27,426,361",57.30%,"$20,437,004",42.70%
Queen & Slim,"$47,861,400","$43,808,310",91.50%,"$4,053,090",8.50%
Phantom Thread,"$47,756,590","$21,198,205",44.40%,"$26,558,385",55.60%
Scott Pilgrim vs. the World,"$47,664,559","$31,524,275",66.10%,"$16,140,284",33.90%
"Yo-kai Watch Movie: It's the Secret of Birth, Meow! 2016 Re-release","$47,642,462",-,-,"$47,642,462",100%
Man on a Ledge,"$47,636,031","$18,620,000",39.10%,"$29,016,031",60.90%
Inside Men,"$47,616,503",-,-,"$47,616,503",100%
The Dead End,"$47,600,000",-,-,"$47,600,000",100%
Coming Home,"$47,587,984","$377,607",0.80%,"$47,210,377",99.20%
47 Meters Down: Uncaged,"$47,582,563","$22,260,900",46.80%,"$25,321,663",53.20%
Boonie Bears: A Mystical Winter,"$47,581,416",-,-,"$47,581,416",100%
Beauty and the Beast,"$47,430,624",-,-,"$47,430,624",100%
The Magic Tuche,"$47,427,990",-,-,"$47,427,990",100%
Nightcrawler,"$47,398,992","$32,381,217",68.30%,"$15,017,775",31.70%
Rough Night,"$47,347,283","$22,105,643",46.70%,"$25,241,640",53.30%
Texas Chainsaw,"$47,340,586","$34,341,945",72.50%,"$12,998,641",27.50%
A Monster Calls,"$47,309,313","$3,740,823",7.90%,"$43,568,490",92.10%
Tiny Times 2.0,"$47,289,937","$43,788",<0.1%,"$47,246,149",99.90%
Golden Job,"$47,287,851","$285,795",0.60%,"$47,002,056",99.40%
Mortdecai,"$47,275,695","$7,696,134",16.30%,"$39,579,561",83.70%
Switch,"$47,164,301",-,-,"$47,164,301",100%
Soul Surfer,"$47,120,948","$43,853,424",93.10%,"$3,267,524",6.90%
The Place Beyond the Pines,"$47,052,899","$21,403,519",45.50%,"$25,649,380",54.50%
Son of Bigfoot,"$47,046,281","$289,308",0.60%,"$46,756,973",99.40%
StreetDance 2,"$46,960,833",-,-,"$46,960,833",100%
My Hero Academia: World Heroes' Mission,"$46,951,862","$12,271,658",26.10%,"$34,680,204",73.90%
Parker,"$46,922,566","$17,616,641",37.50%,"$29,305,925",62.50%
Mary Queen of Scots,"$46,712,809","$16,468,499",35.30%,"$30,244,310",64.70%
Uncle Drew,"$46,664,414","$42,469,946",91%,"$4,194,468",9%
Three Seconds,"$46,596,415",-,-,"$46,596,415",100%
The Big Wedding,"$46,522,137","$21,819,348",46.90%,"$24,702,789",53.10%
Badges of Fury,"$46,495,296",-,-,"$46,495,296",100%
Risen,"$46,432,579","$36,880,033",79.40%,"$9,552,546",20.60%
Acrimony,"$46,403,669","$43,549,096",93.80%,"$2,854,573",6.20%
The French Dispatch,"$46,333,545","$16,124,375",34.80%,"$30,209,170",65.20%
A Werewolf Boy,"$46,282,588","$342,922",0.70%,"$45,939,666",99.30%
The Thousand Faces of Dunjia,"$46,263,237","$124,187",0.30%,"$46,139,050",99.70%
Asterix: The Secret of the Magic Potion,"$46,221,204","$1,271,953",2.80%,"$44,949,251",97.20%
The Battleship Island,"$46,183,383","$1,104,957",2.40%,"$45,078,426",97.60%
Doraemon: Nobita and the Island of Miracles ~Animal Adventure~,"$46,180,706",-,-,"$46,180,706",100%
Hanson and the Beast,"$46,154,323",-,-,"$46,154,323",100%
Eddie the Eagle,"$46,152,800","$15,789,389",34.20%,"$30,363,411",65.80%
The World's End,"$46,089,287","$26,004,851",56.40%,"$20,084,436",43.60%
Gekijouban Tenpesuto 3D 2012 Re-release,"$46,008,255",-,-,"$46,008,255",100%
Let's Get Married,"$45,972,724","$462,918",1%,"$45,509,806",99%
Welcome to the South,"$45,896,492",-,-,"$45,896,492",100%
Gintama Live Action the Movie,"$45,746,967",-,-,"$45,746,967",100%
Somewhere Only We Know,"$45,737,711","$482,341",1.10%,"$45,255,370",98.90%
Chasing the Dragon II: Wild Wild Bunch,"$45,733,356","$196,634",0.40%,"$45,536,722",99.60%
"McFarland, USA","$45,710,059","$44,482,410",97.30%,"$1,227,649",2.70%
Judy,"$45,701,880","$24,313,888",53.20%,"$21,387,992",46.80%
Guilty of Mind,"$45,698,503",-,-,"$45,698,503",100%
Earth to Echo,"$45,681,062","$38,934,842",85.20%,"$6,746,220",14.80%
That Awkward Moment,"$45,640,143","$26,068,955",57.10%,"$19,571,188",42.90%
The Debt,"$45,636,368","$31,177,548",68.30%,"$14,458,820",31.70%
Bajrangi Bhaijaan 2018 Re-release,"$45,579,004",-,-,"$45,579,004",100%
Hero,"$45,565,534","$88,675",0.20%,"$45,476,859",99.80%
Machete,"$45,491,656","$26,593,646",58.50%,"$18,898,010",41.50%
Love on the Cloud,"$45,386,560","$271,734",0.60%,"$45,114,826",99.40%
Barbarian,"$45,352,337","$40,842,944",90.10%,"$4,509,393",9.90%
Tanhaji: The Unsung Warrior,"$45,221,814",-,-,"$45,221,814",100%
Confessions,"$45,203,103",-,-,"$45,203,103",100%
Blair Witch,"$45,173,154","$20,777,061",46%,"$24,396,093",54%
Flatliners,"$45,158,254","$16,883,115",37.40%,"$28,275,139",62.60%
Boonie Bears: The Big Top Secret,"$45,150,390",-,-,"$45,150,390",100%
In the Heights,"$45,135,827","$29,975,167",66.40%,"$15,160,660",33.60%
Love Will Tear Us Apart,"$45,060,290",-,-,"$45,060,290",100%
Grudge Match,"$44,907,260","$29,807,260",66.40%,"$15,100,000",33.60%
Child's Play,"$44,907,074","$29,208,403",65%,"$15,698,671",35%
Avatar 2010 Special Edition,"$44,838,548","$10,741,486",24%,"$34,097,062",76%
Still Alice,"$44,779,195","$18,754,371",41.90%,"$26,024,824",58.10%
The Man from Nowhere,"$44,723,232","$528,175",1.20%,"$44,195,057",98.80%
The White Storm,"$44,670,277",-,-,"$44,670,277",100%
Richard Jewell,"$44,655,962","$22,345,542",50%,"$22,310,420",50%
Bad Genius,"$44,560,421",-,-,"$44,560,421",100%
Mother!,"$44,516,999","$17,800,004",40%,"$26,716,995",60%
Oculus,"$44,446,287","$27,695,246",62.30%,"$16,751,041",37.70%
Detective Conan: The Eleventh Striker,"$44,369,456",-,-,"$44,369,456",100%
Unhinged,"$44,331,465","$20,831,465",47%,"$23,500,000",53%
House at the End of the Street,"$44,287,131","$31,611,916",71.40%,"$12,675,215",28.60%
Tarzan,"$44,095,996",-,-,"$44,095,996",100%
The Great Hypnotist,"$44,077,818",-,-,"$44,077,818",100%
Winchester,"$44,019,588","$25,091,816",57%,"$18,927,772",43%
Kick,"$43,996,483","$2,472,695",5.60%,"$41,523,788",94.40%
Wind River,"$43,980,821","$33,800,859",76.90%,"$10,179,962",23.10%
Max,"$43,967,255","$42,656,255",97%,"$1,311,000",3%
The End of Endless Love,"$43,950,000",-,-,"$43,950,000",100%
Battle of Memories,"$43,892,362","$594,552",1.40%,"$43,297,810",98.60%
Of Gods and Men,"$43,803,417","$3,951,596",9%,"$39,851,821",91%
Café Society,"$43,763,247","$11,103,205",25.40%,"$32,660,042",74.60%
The DUFF,"$43,709,744","$34,030,343",77.90%,"$9,679,401",22.10%
Boy,"$43,551,154","$256,211",0.60%,"$43,294,943",99.40%
League of Gods,"$43,498,766","$181,633",0.40%,"$43,317,133",99.60%
Secretly Greatly,"$43,447,199",-,-,"$43,447,199",100%
The War with Grandpa,"$43,387,445","$21,277,892",49%,"$22,109,553",51%
Prey for the Devil,"$43,377,310","$19,802,293",45.70%,"$23,575,017",54.30%
Harriet,"$43,347,017","$43,082,155",99.40%,"$264,862",0.60%
Beastly,"$43,202,283","$27,865,571",64.50%,"$15,336,712",35.50%
The Snowman,"$43,155,261","$6,700,035",15.50%,"$36,455,226",84.50%
A Shaun the Sheep Movie: Farmageddon,"$43,100,248",-,-,"$43,100,248",100%
Annihilation,"$43,070,915","$32,732,301",76%,"$10,338,614",24%
When in Rome,"$43,053,376","$32,680,633",75.90%,"$10,372,743",24.10%
Gifted,"$43,046,590","$24,801,212",57.60%,"$18,245,378",42.40%
The Possession of Hannah Grace,"$43,016,528","$14,837,422",34.50%,"$28,179,106",65.50%
Legend,"$42,972,994","$1,872,994",4.40%,"$41,100,000",95.60%
"The Chef, The Actor, The Scoundrel","$42,970,000",-,-,"$42,970,000",100%
The Gallows,"$42,964,410","$22,764,410",53%,"$20,200,000",47%
Asterix and Obelix: Mansion of the Gods,"$42,830,578",-,-,"$42,830,578",100%
Detective Conan: Quarter of Silence,"$42,808,575",-,-,"$42,808,575",100%
Doraemon: Nobita's Secret Gadget Museum,"$42,770,271",-,-,"$42,770,271",100%
Shaolin,"$42,741,494","$66,099",0.20%,"$42,675,395",99.80%
